UBIGEO_OK,NOMBRE_OK,mean,percentile_10,percentile_90
160804,YAGUAS,22.973617658943965,22.8541202545166,23.1032772064209
160704,MORONA,22.95268309182961,22.66802406311035,23.238250732421875
160401,RAMON CASTILLA,22.92658142896476,22.859756469726562,22.986373901367188
160404,SAN PABLO,22.887479629984664,22.80384635925293,22.963651657104492
160705,PASTAZA,22.8707935230152,22.721572875976562,23.020862579345703
160402,PEBAS,22.836467025715258,22.760663986206055,22.9091739654541
160105,LAS AMAZONAS,22.762101274481566,22.656763076782227,22.856006622314453
160801,PUTUMAYO,22.742786258292597,22.56856918334961,22.931459426879883
160101,IQUITOS,22.72259521484375,22.594120025634766,22.793989181518555
240302,AGUAS VERDES,22.709638595581055,22.709638595581055,22.709638595581055
160104,INDIANA,22.698646129261363,22.610797882080078,22.787593841552734
160206,LAGUNAS,22.6944482421875,22.559764862060547,22.797876358032227
160403,YAVARI,22.686692097547976,22.482641220092773,22.911434173583984
160108,PUNCHANA,22.665260170990567,22.617219924926758,22.742752075195312
160305,URARINAS,22.645239736519606,22.560266494750977,22.74508285522461
